151,319.65,75.8073,7.4e+07,197.73
152,337.7,74.5912,4.9e+07,157.79
153,359.35,76.1838,7.4e+07,117.67
154,381.4,76.0543,5.1e+07,222.8
155,404.2,73.1959,6.4e+07,170.85
156,426.2,79.6057,6.5e+07,184.69
157,458.25,82.6121,1.4e+08,206.15
158,486.95,81.0088,1.0e+08,134.7
159,524.85,71.5739,1.1e+08,96.54
160,567.85,77.0967,1.1e+08,148.19
161,620.95,82.6672,1.6e+08,90.47
162,653.4,79.7424,1.5e+08,102.33
163,717.7,83.0365,1.3e+08,108.16
164,782,81.8226,2.4e+08,109.92
165,834.35,89.0899,2.3e+08,63.71
166,891.15,86.372,1.8e+08,55.02
167,959.4,82.5093,1.8e+08,57.91
168,1040.85,82.1997,2.0e+08,51.61
169,1122.55,90.8185,2.9e+08,52.47
170,1220.55,94.4208,2.5e+08,48.41
171,1331,88.3701,2.1e+08,61.52
172,1482.3,77.6371,3.3e+08,50.94
173,1613.75,85.1869,3.2e+08,54.47
174,2003.6,86.1727,3.3e+08,49.4
175,2548.45,85.6733,3.9e+08,50.07
176,4914.9,97.9815,1.3e+09,44.19
177,15792.3,103.759,4.8e+09,8.64
