firmID,nwrks,wage_av,profit_av_firm,educ_av_firm,firm_age,ind,region
"A396030",1,29.7,5064.785,3,725,,43
"A396249",53,74.31388,2830.065,1.625,2159,263,12
"A396984",66,40.324,5227.32,1.5,1540,,3
"A397344",53,44.16686,9727.52,2.2,601,,11
"A397447",13,57.83749,6871.255,3,17015,,13
"A397449",30,45.51353,271.18,2.2,11109,516,23
"A397453",142,62.83324,46112.2,1.9375,14243,151,13
"A397467",154,74.83365,33566.88,2,11718,192,13
"A397478",466,37.74732,231.39,1.590909,10507,747,13
"A397480",26,35.9254,4320,1,10348,182,13
"A397481",141,70.58252,17366.98,1.444444,10166,155,13
"A397483",15,35.91295,1306.77,1.5,7244,182,13
"A397490",3,30.88673,1978.73,1.6,9705,158,13
"A397505",11,51.63252,493.25,2,8663,,43
"A397508",14,46.08905,63.71,2,8765,264,13
"A397510",26,86.97897,5150,2,8613,,28
"A397511",13,83.36232,1.07,2.142857,4263,501,13
"A397516",27,31.1311,2994,1.375,4219,,13
"A397554",41,31.40217,1950,1.666667,7609,452,13
"A397577",35,31.80518,139.53,1.5,7546,524,13
"A397621",80,46.60357,1671.1,1.5,7011,,13
"A397643",42,40.97877,9670,1,9372,157,13
"A404302",11,60.26824,314.08,1,4981,701,13
"A407166",99,42.62113,5502.31,1.333333,5873,,13
"A407616",196,53.53891,11764.68,2,4627,343,13
"A408761",28,76.47052,2482.79,1,4199,295,13
"A408942",59,42.38683,522.7,1,3903,,13
"A410105",42,46.37375,13.82,2,2539,,13
"A410121",206,66.54854,2489.77,2.181818,2597,,13
"A411173",27,48.2919,2712.66,1.5,1908,,13
"A411178",2,47.94542,4800,2,2005,,13
"A412227",23,311.7443,528.34,3.5,18564,401,14
"A412237",404,74.00333,1009.534,1.764706,20084,,14
"A412251",21,67.6552,2927.385,3,15673,,14
"A412257",132,52.70132,220.13,2.285714,16931,244,14
"A412260",22,43.99345,3434.4,2,13909,,14
"A412265",23,41.87595,15.27,2,12723,,14
"A412266",69,38.67513,254.2663,3,3378,,14
"A412268",8,20.99185,72,1,1886,11,14
"A412278",59,35.29644,6297.86,2.5,12126,241,14
"A412287",35,44.44364,360,2.5,11321,,14
"A412308",10,38.0411,14851.42,1,1333,,21
"A412319",250,32.46339,919.03,1.333333,9415,747,14
"A412325",40,33.95518,4559.82,2.166667,10410,182,14
"A412326",30,41.77768,1950.97,1.6,10410,,14
"A412333",106,247.9511,11007.95,2.875,10226,452,14
"A412342",12,33.20273,769.66,1.666667,5068,513,14
"A412343",3,121.0994,730,3,9776,451,14
"A412346",41,73.91766,120,2.5,9838,501,14
"A412358",9,113.0352,3677.84,4,9632,,14
"A412375",26,47.04322,5719.65,1.25,9405,286,14
"A412378",69,43.13176,150,2.076923,9252,502,14
"A412381",177,43.72166,500,1.5,9099,453,14
"A412405",87,36.01095,22689.68,1.363636,8722,151,14
"A412407",0,74.292,118.99,3,7822,,23
"A412411",20,49.54485,36.75,3,8876,,14
"A412431",9,30.41214,1734.565,1.444444,8671,158,14
"A412442",11,36.31108,1864.6,1.5,8393,,20
"A412446",64,32.09222,9950,3,5863,,18
"A412480",4,41.39112,317.65,2,8015,632,14
"A412487",23,104.4078,4327.2,2.285714,4928,451,28
"A412501",14,81.584,8650,2,8034,,14
"A412581",1,69.01128,14641,2,7304,513,14
"A412586",12,50.40172,892.99,2.5,7173,,14
"A412601",36,48.28925,10702.08,2,7263,,14
"A412606",147,39.41392,7705,1.35,7200,553,14
"A412608",8,39.90485,30208,3,6899,151,14
"A412613",127,45.07516,50683.67,2.5,7122,,14
"A412623",33,22.75611,984.6,1.222222,1886,11,14
